Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts,CPU,Freq,GPU,EdgeTPU (Quantized),Local Machine (Non-Quantized),Index
14:34:34,14.4,0,1.4,84.2,0,2,678,976,0,0,0,0,0,Hz,-N/A-,0,0,0
14:34:35,15.1,0,2,82.9,0,2,844,1036,0,0,0,0,0,Hz,-N/A-,0,0,1
14:34:35,14.5,0,0.7,84.8,0,2,700,816,0,0,0,0,0,Hz,-N/A-,0,0,2
14:34:36,14.8,0,1.3,81.9,2,2,508,812,0,0,0,0,0,Hz,-N/A-,0,0,3
14:34:36,18.8,0,1.7,79.5,0,3,3086,1140,1,0,0,0,0,Hz,-N/A-,0,0,4
14:34:37,20.7,3.4,3.1,70.4,2.4,3,2236,1978,5,1,0,0,0,Hz,-N/A-,0,0,5
14:34:37,17.1,0,24.5,55.9,2.4,3,1846,2210,5,0,3,0,0,Hz,-N/A-,0,0,6
14:34:38,14.1,0,1.7,84.1,0,2,996,976,2,2,12,0,0,Hz,-N/A-,0,0,7
14:34:38,20.1,0,24.1,55.8,0,2,1092,3146,5,0,2,0,0,Hz,-N/A-,0,0,8
14:34:39,12.3,0,0.7,85,2,2,842,728,0,0,0,0,0,Hz,-N/A-,0,0,9
14:34:39,8.3,0,3.1,88.6,0,2,2576,1422,0,0,19,0,0,Hz,-N/A-,0,0,10
14:34:40,0.7,0,0.7,98.7,0,1,1148,424,0,0,0,0,0,Hz,-N/A-,0,0,11
14:34:40,0,0,0.3,99.7,0,3,564,224,0,0,0,0,0,Hz,-N/A-,0,0,12
14:34:41,0.3,0,0,99.7,0,1,262,204,0,0,0,0,0,Hz,-N/A-,0,0,13
14:34:42,0,0,0,100,0,3,212,220,0,0,0,0,0,Hz,-N/A-,0,0,14
14:34:42,0.3,0,0.3,99.3,0,1,772,478,1,1,1,0,0,Hz,-N/A-,0,0,15
14:34:42,0.7,0,0.3,96.7,2.3,1,1088,442,0,0,0,0,0,Hz,-N/A-,0,0,16
14:34:43,0,0,0,100,0,1,274,228,0,0,0,0,0,Hz,-N/A-,0,0,17
14:34:43,8.5,0,1.8,89.7,0,2,826,684,4,4,2,0,0,Hz,-N/A-,0,0,18
14:34:44,18,0,27.5,54.6,0,2,1710,2382,5,0,0,0,0,Hz,-N/A-,0,0,19
14:34:44,14,0,1.7,84.2,0,2,1126,994,0,0,0,0,0,Hz,-N/A-,0,0,20
14:34:45,21.8,0,1.7,76.5,0,4,1476,1110,0,0,0,0,0,Hz,-N/A-,0,0,21
14:34:45,18.9,0,2.4,78.8,0,2,988,1144,0,0,0,0,0,Hz,-N/A-,0,0,22
14:34:46,19.8,0,25.3,54.9,0,2,980,2254,5,0,0,0,0,Hz,-N/A-,0,0,23
14:34:46,14,0,1.4,84.6,0,2,512,714,0,0,0,0,0,Hz,-N/A-,0,0,24
14:34:47,13.8,0,3,83.2,0,2,688,870,0,0,0,0,0,Hz,-N/A-,0,0,25
14:34:47,16.6,0,1.4,80.4,1.7,6,782,1010,0,0,0,0,0,Hz,-N/A-,0,0,26
14:34:48,17.9,0,1,79.1,2,2,1408,1204,3,0,5,0,0,Hz,-N/A-,0,0,27
14:34:48,16,0,3.1,80.8,0,3,1252,1206,9,3,2,0,0,Hz,-N/A-,0,0,28
14:34:49,34.4,0,11.2,52.4,2,9,75414,2898,23,0,18,0,0,Hz,-N/A-,0,0,29
14:34:49,29.9,0,11.9,58.2,0,4,94082,2006,0,0,1,0,0,Hz,-N/A-,0,0,30
14:34:50,15.9,0,2.1,82,0,2,978,1038,0,0,0,0,0,Hz,-N/A-,0,0,31
14:34:50,14.5,0,0.7,84.8,0,2,788,1016,0,0,0,0,0,Hz,-N/A-,0,0,32
14:34:51,15.7,0,1.4,82.9,0,2,1308,1324,0,0,0,0,0,Hz,-N/A-,0,0,33
14:34:51,15.2,0,1.7,83.1,0,3,904,1004,0,0,0,0,0,Hz,-N/A-,0,0,34
14:34:52,17.5,0,1.7,80.8,0,2,2180,988,5,0,0,0,0,Hz,-N/A-,0,0,35
14:34:52,14.3,0,1.7,84,0,2,672,890,0,0,6,0,0,Hz,-N/A-,0,0,36
14:34:53,14.2,0,0.3,85.5,0,2,390,648,0,0,0,0,0,Hz,-N/A-,0,0,37
14:34:53,21.8,0,25.9,52.2,0,2,1972,2510,5,0,0,0,0,Hz,-N/A-,0,0,38
14:34:54,15.8,0,2.7,81.4,0,2,1038,1072,0,0,0,0,0,Hz,-N/A-,0,0,39
14:34:54,18.3,0,1,80.7,0,2,958,1040,0,0,0,0,0,Hz,-N/A-,0,0,40
14:34:55,26.2,0,2.8,70.7,0.3,3,2718,1522,1,0,5,0,0,Hz,-N/A-,0,0,41
14:34:55,21.1,0,2.3,76.5,0,3,994,1296,2,2,3,0,0,Hz,-N/A-,0,0,42
14:34:56,19.4,0,2.1,78.5,0,3,1116,1222,2,0,0,0,0,Hz,-N/A-,0,0,43
14:34:56,30.6,4.9,4.9,56.7,2.8,2,3886,2612,6,1,0,0,0,Hz,-N/A-,0,0,44
14:34:57,16.3,0,2,81.6,0,2,1132,1092,0,0,1,0,0,Hz,-N/A-,0,0,45
14:34:57,16.3,0,1,82.4,0.3,4,1180,1264,0,0,0,0,0,Hz,-N/A-,0,0,46
14:34:58,17.2,0,2,80.8,0,3,1036,1090,0,0,0,0,0,Hz,-N/A-,0,0,47
14:34:58,20.1,0,2,77.8,0,3,2800,1252,0,0,0,0,0,Hz,-N/A-,0,0,48
14:34:59,18.9,0,2,79.1,0,2,1136,1100,0,0,0,0,0,Hz,-N/A-,0,0,49
14:34:59,14.9,0,2.4,82.8,0,4,1196,1014,0,0,0,0,0,Hz,-N/A-,0,0,50
14:35:00,27.3,0,4,67,1.7,2,1258,1412,1,0,0,0,0,Hz,-N/A-,0,0,51
14:35:00,19,0,2,75.6,3.4,2,1366,1660,5,0,0,0,0,Hz,-N/A-,0,0,52
14:35:01,18.8,0,0.7,80.5,0,2,474,808,0,0,0,0,0,Hz,-N/A-,0,0,53
14:35:01,14.2,0,0.3,85.1,0.3,2,502,796,0,0,0,0,0,Hz,-N/A-,0,0,54
14:35:02,27.9,0,4.4,67.3,0.3,5,2892,2242,12,1,6,0,0,Hz,-N/A-,0,0,55
14:35:02,34.1,0,10.5,55.1,0.3,7,10926,2278,20,2,30,0,0,Hz,-N/A-,0,0,56
14:35:03,32.4,0,18.6,49,0,2,95788,1584,0,0,1,0,0,Hz,-N/A-,0,0,57
14:35:03,27.4,0,2.7,69.9,0,3,958,1154,0,0,0,0,0,Hz,-N/A-,0,0,58
14:35:04,15.8,0,1.7,82.5,0,2,416,762,0,0,0,0,0,Hz,-N/A-,0,0,59
14:35:04,19.3,0,1.7,79,0,5,886,920,0,0,0,0,0,Hz,-N/A-,0,0,60
14:35:05,21.4,0,3.4,75.3,0,2,822,968,0,0,0,0,0,Hz,-N/A-,0,58.06,61
14:35:05,19.9,0,3.7,76.4,0,2,986,966,0,0,0,0,0,Hz,-N/A-,0,58.06,62
14:35:06,13.8,0,1.4,83.7,1,2,582,840,0,0,0,0,0,Hz,-N/A-,0,56.25,63
14:35:06,15.8,0,1,82.8,0.3,3,828,1032,0,0,0,56.25,0,Hz,-N/A-,4.476232774,56.25,64
14:35:07,22.7,0,3.1,74.2,0,2,1224,1242,1,0,6,54.55,0,Hz,-N/A-,4.340951073,54.55,65
14:35:07,20.8,0.3,3.4,75.4,0,3,1104,1176,0,0,1,54.55,0,Hz,-N/A-,4.340951073,54.55,66
14:35:08,25.9,0.3,3.1,70.7,0,4,2328,1530,1,0,5,52.94,0,Hz,-N/A-,4.212831344,52.94,67
14:35:08,20.9,0,2.1,77.1,0,3,962,1112,0,0,1,52.94,0,Hz,-N/A-,4.212831344,52.94,68
14:35:09,18.1,0,2.3,79.5,0,4,1190,1166,0,0,0,51.43,0,Hz,-N/A-,4.092669362,51.43,69
14:35:09,25.3,0,3.1,71.6,0,2,1572,1220,0,0,0,51.43,0,Hz,-N/A-,4.092669362,51.43,70
14:35:10,15.3,0,1.4,83.3,0,2,948,1040,0,0,0,50,0,Hz,-N/A-,3.978873577,50,71
14:35:10,19.6,0,14.9,65.5,0,7,1006,1922,5,0,0,50,0,Hz,-N/A-,3.978873577,50,72
14:35:11,27.6,0,9.9,62.5,0,2,1400,1648,0,0,0,48.65,0,Hz,-N/A-,3.871443991,48.65,73
14:35:11,16.8,0,1,82.1,0,3,690,850,0,0,0,48.65,0,Hz,-N/A-,3.871443991,48.65,74
14:35:12,16.4,0,1.7,81.9,0,3,804,806,0,0,1,47.37,0,Hz,-N/A-,3.769584827,47.37,75
14:35:12,18,0,2.7,79.3,0,3,1358,1282,9,3,3,47.37,0,Hz,-N/A-,3.769584827,47.37,76
14:35:13,32.8,0,4.4,62.8,0,3,3304,2430,18,0,18,46.15,0,Hz,-N/A-,3.672500312,46.15,77
14:35:13,31.5,0,4.1,64.4,0,3,1510,1336,0,0,1,46.15,0,Hz,-N/A-,3.672500312,46.15,78
14:35:14,25.6,0,3.4,71,0,2,1148,1346,0,0,0,45,0,Hz,-N/A-,3.58098622,45,79
14:35:14,25.1,0,2.7,72.2,0,5,1084,1104,0,0,0,45,0,Hz,-N/A-,3.58098622,45,80
14:35:15,20.3,0,2.4,77.3,0,3,1064,1152,0,0,0,43.9,0,Hz,-N/A-,3.493451001,43.9,81
14:35:15,12.8,0,1.4,85.8,0,2,554,736,0,0,1,43.9,0,Hz,-N/A-,3.493451001,43.9,82
