Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts,CPU,Freq,GPU,W
14:45:35,0.7,0,0.3,99,0,1,890,650,0,0,0,0,0,Hz,-N/A-,0
14:45:35,0.7,0,0.7,98.6,0,1,950,660,0,0,0,0,0,Hz,-N/A-,0
14:45:36,2.4,0,0.7,96.9,0,1,1144,814,0,0,0,0,0,Hz,-N/A-,0
14:45:36,5.7,0,1,93.3,0,2,1904,934,0,0,0,0,0,Hz,-N/A-,0
14:45:37,1.4,0,0.7,97.6,0.3,2,912,682,0,0,2,0,0,Hz,-N/A-,0
14:45:37,1.7,1.7,2.4,93.6,0.7,1,2020,1372,5,1,0,0,0,Hz,-N/A-,0
14:45:38,1,0,0.3,98.6,0,1,1048,738,0,0,0,0,0,Hz,-N/A-,0
14:45:38,2.7,0,0.7,96.6,0,1,1442,976,0,0,0,0,0,Hz,-N/A-,0
14:45:39,10.4,0,1.3,88.2,0,1,1198,1028,0,0,0,0,0,Hz,-N/A-,0
14:45:39,2,0,0.3,97.7,0,1,722,546,0,0,0,0,0,Hz,-N/A-,0
14:45:40,2.4,0,0.7,96.9,0,2,788,570,0,0,0,0,0,Hz,-N/A-,0
14:45:40,11.5,0,2,86.5,0,1,1102,946,0,0,0,0,0,Hz,-N/A-,0
14:45:41,2.7,0,1.3,96,0,1,972,680,2,2,0,0,0,Hz,-N/A-,0
14:45:41,0,0,0,100,0,1,396,274,0,0,1,0,0,Hz,-N/A-,0
14:45:42,0.7,0,0.3,99,0,1,566,472,0,0,0,0,0,Hz,-N/A-,0
14:45:42,0,0,0.3,99.7,0,1,322,236,0,0,0,0,0,Hz,-N/A-,0
14:45:43,0.3,0,0,97.3,2.3,1,342,336,0,0,0,0,0,Hz,-N/A-,0
14:45:43,0,0,0,100,0,1,282,260,0,0,0,0,0,Hz,-N/A-,0
14:45:44,0,0,0.3,99.7,0,1,224,234,0,0,0,0,0,Hz,-N/A-,0
14:45:44,0.3,0,0,99.7,0,1,240,184,0,0,0,0,0,Hz,-N/A-,0
14:45:45,0,0,0,100,0,1,174,150,0,0,0,0,0,Hz,-N/A-,0
14:45:45,0,0,0.3,99.7,0,1,294,236,0,0,0,0,0,Hz,-N/A-,0
14:45:46,1,0,0,99,0,1,386,308,0,0,0,0,0,Hz,-N/A-,0
14:45:46,0,0,0,100,0,2,254,226,0,0,0,0,0,Hz,-N/A-,0
14:45:47,0,0,0,100,0,1,232,230,0,0,0,0,0,Hz,-N/A-,0
14:45:47,0,0,0.3,99.7,0,1,256,250,0,0,0,0,0,Hz,-N/A-,0
14:45:48,0.7,0,1,98.4,0,1,692,496,3,0,5,0,0,Hz,-N/A-,0
14:45:48,0,0,0,100,0,1,302,266,0,0,1,0,0,Hz,-N/A-,0
14:45:49,0.3,0,0.3,97.4,1.9,1,354,260,0,0,0,0,0,Hz,-N/A-,0
14:45:49,0,0,0.3,99.7,0,3,256,220,0,0,0,0,0,Hz,-N/A-,0
14:45:50,0,0,0,100,0,1,232,244,0,0,0,0,0,Hz,-N/A-,0
14:45:50,0,0,0,100,0,2,238,168,0,0,0,0,0,Hz,-N/A-,0
14:45:51,0,0,0,100,0,1,180,176,0,0,0,0,0,Hz,-N/A-,0
14:45:51,0.3,0,0,99.7,0,1,258,190,0,0,0,0,0,Hz,-N/A-,0
14:45:52,0.3,0,0,99.7,0,1,664,434,0,0,1,0,0,Hz,-N/A-,0
14:45:52,0,0,0,100,0,2,240,196,0,0,0,0,0,Hz,-N/A-,0
14:45:53,0,0,0,100,0,3,212,202,0,0,1,0,0,Hz,-N/A-,0
14:45:53,0,0,0.4,99.6,0,1,240,202,0,0,0,0,0,Hz,-N/A-,0
14:45:54,0,0,0,100,0,1,298,288,0,0,0,0,0,Hz,-N/A-,0
14:45:54,0.3,0,0.3,99.3,0,1,256,274,0,0,0,0,0,Hz,-N/A-,0
14:45:55,0,0,0,100,0,1,210,208,0,0,0,0,0,Hz,-N/A-,0
14:45:55,0,0,0.3,99.7,0,4,162,156,0,0,0,0,0,Hz,-N/A-,0
14:45:56,0.7,0,0,99.3,0,1,370,270,0,0,0,0,0,Hz,-N/A-,0
14:45:56,1,0,0.3,98.7,0,1,350,354,3,0,0,0,0,Hz,-N/A-,0
14:45:57,2,2.6,2.6,90.2,2.6,2,2432,1630,6,1,0,0,0,Hz,-N/A-,0
14:45:57,0,0,0,100,0,1,194,202,0,0,1,0,0,Hz,-N/A-,0
14:45:58,0.7,0,1,98.4,0,1,556,392,0,0,0,0,0,Hz,-N/A-,0
14:45:58,0,0,0,100,0,1,162,150,0,0,0,0,0,Hz,-N/A-,0
14:45:59,0,0,0,100,0,1,302,254,0,0,0,0,0,Hz,-N/A-,0
14:45:59,0,0,0,100,0,1,256,244,0,0,0,0,0,Hz,-N/A-,0
14:46:00,0.7,0,0.3,99,0,1,282,244,0,0,0,0,0,Hz,-N/A-,0
14:46:00,0,0,0,100,0,2,190,186,0,0,0,0,0,Hz,-N/A-,0
14:46:01,0,0,0.3,99.7,0,1,220,180,0,0,0,0,0,Hz,-N/A-,0
14:46:01,0,0,0.3,99.7,0,1,170,154,0,0,0,0,0,Hz,-N/A-,0
14:46:02,0.7,0,0.3,97,2,1,426,404,0,0,0,0,0,Hz,-N/A-,0
14:46:02,0,0,0,100,0,1,180,158,0,0,0,0,0,Hz,-N/A-,0
14:46:03,0,0,0,100,0,1,256,164,0,0,0,0,0,Hz,-N/A-,0
14:46:03,0,0,0,100,0,1,188,194,0,0,2,0,0,Hz,-N/A-,0
14:46:04,0,0,0.3,99.7,0,1,242,196,0,0,0,0,0,Hz,-N/A-,0
14:46:04,0,0,0,100,0,1,174,154,0,0,0,0,0,Hz,-N/A-,0
14:46:05,0.3,0,0,99.7,0,1,258,204,0,0,0,0,0,Hz,-N/A-,0
14:46:05,0,0,0.3,99.7,0,1,184,184,0,0,0,0,0,Hz,-N/A-,0
14:46:06,0,0,0,100,0,2,306,242,0,0,0,0,0,Hz,-N/A-,0
14:46:06,0,0,0,100,0,1,166,146,0,0,0,0,0,Hz,-N/A-,0
14:46:07,1.3,0,1,97.7,0,1,718,498,3,0,6,0,0,Hz,-N/A-,0
14:46:07,0,0,0,100,0,1,236,214,0,0,1,0,0,Hz,-N/A-,0
14:46:08,1,0,0.7,98,0.3,1,564,424,0,0,0,0,0,Hz,-N/A-,0
14:46:08,0,0,0,100,0,2,170,158,0,0,0,0,0,Hz,-N/A-,0
14:46:09,0,0,0,100,0,2,270,182,0,0,0,0,0,Hz,-N/A-,0
14:46:09,0.3,0,0.3,99.3,0,1,188,156,0,0,0,0,0,Hz,-N/A-,0
14:46:10,0,0,0,100,0,1,250,220,0,0,0,0,0,Hz,-N/A-,0
14:46:10,0.3,0,0,99.7,0,1,178,158,0,0,0,0,0,Hz,-N/A-,0
14:46:11,0.7,0,1,98.3,0,3,320,374,3,3,3,0,0,Hz,-N/A-,0
14:46:11,12.4,0,1.7,85.9,0,2,320,600,0,0,0,0,0,Hz,-N/A-,0
14:46:12,20.8,0,23.9,55.3,0,2,690,2090,5,0,1,0,0,Hz,-N/A-,0
14:46:12,13.9,0,1.4,84.7,0,2,382,634,0,0,1,0,0,Hz,-N/A-,0
14:46:13,14.7,0,1.7,83.6,0,2,524,874,0,0,0,0,0,Hz,-N/A-,0
14:46:13,18.7,0,25.5,55.8,0,2,496,1978,5,0,0,0,0,Hz,-N/A-,0
14:46:14,13.6,0,1.7,84.7,0,3,534,770,0,0,0,0,0,Hz,-N/A-,0
14:46:14,13.7,0,1.7,84.6,0,2,470,738,0,0,0,0,0,Hz,-N/A-,0
14:46:15,13.4,0,1,85.6,0,2,448,714,0,0,0,43.9,0,Hz,-N/A-,3.493451001
14:46:15,14,0,0.7,85.3,0,2,328,660,0,0,0,43.9,0,Hz,-N/A-,3.493451001
14:46:16,12.5,0,1.4,86.1,0,2,420,646,2,2,0,42.86,0,Hz,-N/A-,3.41069043
14:46:16,15.4,0.7,11.6,69.9,2.4,7,618,1108,8,0,0,42.86,0,Hz,-N/A-,3.41069043
14:46:17,17.4,2.8,16.4,61,2.4,2,2802,2774,6,1,0,41.86,0,Hz,-N/A-,3.331112959
14:46:17,13.4,0,1,85.6,0,3,448,674,0,0,1,41.86,0,Hz,-N/A-,3.331112959
14:46:18,14.1,0,0.3,85.5,0,2,604,734,0,0,0,40.91,0,Hz,-N/A-,3.255514361
14:46:18,11.9,0,1.1,87,0,2,372,598,0,0,0,40.91,0,Hz,-N/A-,3.255514361
14:46:19,14.5,0,0.7,84.8,0,2,514,722,0,0,0,40,0,Hz,-N/A-,3.183098862
14:46:19,11.9,0,1,87.1,0,2,382,572,0,0,0,40,0,Hz,-N/A-,3.183098862
14:46:20,14.8,0,9.3,75.9,0,7,374,1356,5,0,0,39.13,0,Hz,-N/A-,3.113866462
14:46:20,16.9,0,17.6,65.5,0,2,480,1408,0,0,0,39.13,0,Hz,-N/A-,3.113866462
14:46:21,12.3,0,0.7,87,0,3,338,540,0,0,0,38.3,0,Hz,-N/A-,3.04781716
14:46:21,14,0,1.4,82.5,2.1,2,528,798,2,2,2,38.3,0,Hz,-N/A-,3.04781716
14:46:22,12.8,0,1,83.7,2.4,2,462,656,0,0,0,37.5,0,Hz,-N/A-,2.984155183
14:46:22,12.2,0,1,86.8,0,2,338,670,0,0,2,37.5,0,Hz,-N/A-,2.984155183
14:46:23,12.8,0,0.7,86.5,0,2,396,626,0,0,0,36.73,0,Hz,-N/A-,2.92288053
14:46:23,14.9,0,1.4,83.8,0,2,488,696,0,0,0,36.73,0,Hz,-N/A-,2.92288053
14:46:24,13.7,0,1,85.3,0,2,382,662,0,0,0,36,0,Hz,-N/A-,2.864788976
14:46:24,14.8,0,1,84.2,0,2,476,724,0,0,0,36,0,Hz,-N/A-,2.864788976
14:46:25,18.7,0,2.7,76.6,2,2,648,974,5,0,0,35.29,0,Hz,-N/A-,2.808288971
14:46:25,16.8,0,0.3,82.9,0,3,358,702,0,0,0,35.29,0,Hz,-N/A-,2.808288971
14:46:26,13,0,0.4,86.6,0,3,292,568,0,0,0,34.62,0,Hz,-N/A-,2.754972065
14:46:26,12.6,0,0,87.4,0,3,266,500,0,0,0,34.62,0,Hz,-N/A-,2.754972065
14:46:27,15.7,0,14.3,70,0,7,736,1420,7,2,17,33.96,0,Hz,-N/A-,2.702450934
14:46:27,12.4,0,14.9,72.7,0,2,332,1270,0,0,0,33.96,0,Hz,-N/A-,2.702450934
14:46:28,12.2,0,1,86.5,0.3,2,928,820,3,0,6,33.33,0,Hz,-N/A-,2.652317127
14:46:28,14.2,0,1,84.8,0,3,486,794,0,0,1,33.33,0,Hz,-N/A-,2.652317127
14:46:29,15.4,0,1,83.6,0,2,546,764,0,0,0,32.73,0,Hz,-N/A-,2.604570644
14:46:29,12.8,0,1,86.2,0,2,418,664,0,0,0,32.73,0,Hz,-N/A-,2.604570644
14:46:30,13.1,0,1,85.9,0,3,402,616,0,0,0,32.14,0,Hz,-N/A-,2.557619935
14:46:30,13.2,0,0.3,86.5,0,2,438,662,0,0,0,32.14,0,Hz,-N/A-,2.557619935
14:46:31,13.3,0,1.7,85,0,2,404,642,0,0,0,31.58,0,Hz,-N/A-,2.513056551
14:46:31,13.5,0,12.1,74.5,0,7,426,1650,5,0,0,31.58,0,Hz,-N/A-,2.513056551
14:46:32,17.7,0,12.3,70,0,2,358,1132,0,0,1,31.03,0,Hz,-N/A-,2.469288942
14:46:32,13.2,0,1,85.8,0,2,474,716,0,0,1,31.03,0,Hz,-N/A-,2.469288942
14:46:33,11.8,0,1.4,86.8,0,2,522,714,2,2,2,30.51,0,Hz,-N/A-,2.427908657
14:46:33,13.4,0,0.7,85.9,0,2,310,512,0,0,0,30.51,0,Hz,-N/A-,2.427908657
14:46:34,12.9,0,0.7,83.9,2.4,2,374,560,0,0,0,30,0,Hz,-N/A-,2.387324146
14:46:34,13.7,0,1.4,85,0,2,482,656,0,0,0,30,0,Hz,-N/A-,2.387324146
14:46:35,12.2,0,0.7,87.1,0,2,378,556,0,0,0,29.51,0,Hz,-N/A-,2.348331185
14:46:35,11.9,0,1.4,86.7,0,3,428,504,0,0,0,29.51,0,Hz,-N/A-,2.348331185
14:46:36,12.7,0,1.7,85.6,0,2,434,734,0,0,0,29.03,0,Hz,-N/A-,2.310133999
14:46:36,21.3,0.3,1.7,76.7,0,2,736,1032,9,0,0,29.03,0,Hz,-N/A-,2.310133999
14:46:37,31.7,2.4,2.4,59.7,3.8,2,3244,2534,8,1,2,28.57,0,Hz,-N/A-,2.273528362
14:46:37,27.7,0,0,72.3,0,2,672,1090,2,0,3,28.57,0,Hz,-N/A-,2.273528362
14:46:38,14.9,0,0.3,84.7,0,2,700,716,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:38,32.4,0,0,67.6,0,2,560,940,2,0,2,28.12,0,Hz,-N/A-,2.2377185
14:46:39,17.4,0,0.7,81.9,0,2,408,744,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:39,17.3,0,0.4,82.3,0,2,292,632,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:40,17.2,0,0,82.8,0,2,364,616,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:40,18.5,0,0.3,81.2,0,2,266,628,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:41,19,0,0,81,0,2,360,600,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:41,18.7,0,0,81.3,0,2,266,602,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:42,22.3,0,0.3,75.3,2,2,486,814,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:42,15.9,0,0,84.1,0,3,208,476,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:43,16,0,0.4,83.7,0,2,326,576,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:43,17.5,0,0.7,81.8,0,2,324,722,0,0,2,28.12,0,Hz,-N/A-,2.2377185
14:46:44,17.2,0,0.3,82.4,0,3,376,652,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:44,19.7,0,0.4,79.9,0,3,228,634,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:45,18.6,0,0,81.4,0,3,332,664,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:45,16.5,0,0.4,83.2,0,2,256,622,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:46,17.9,0,0.4,81.8,0,2,398,686,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:46,16.6,0,0.4,83,0,2,332,706,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:47,21.6,0,0,78.4,0,7,332,724,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:47,13.2,0,0,86.8,0,3,212,522,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:48,17.1,0,1,80.5,1.4,3,832,896,3,0,6,27.69,0,Hz,-N/A-,2.203500187
14:46:48,18.4,0,0,81.6,0,7,294,660,0,0,1,28.12,0,Hz,-N/A-,2.2377185
14:46:49,15.5,0,0.4,84.1,0,2,468,650,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:49,16.4,0,0,83.2,0.3,2,276,602,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:50,17.9,0,0,82.1,0,2,424,716,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:50,14.9,0,0,85.1,0,2,236,526,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:51,17.6,0,0.3,82,0,2,352,630,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:51,26,0,0,74,0,2,286,810,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:52,25.3,0,0.3,74.4,0,2,386,758,0,0,1,27.69,0,Hz,-N/A-,2.203500187
14:46:52,14.6,0,0,85.4,0,7,236,512,0,0,1,28.12,0,Hz,-N/A-,2.2377185
14:46:53,23.7,0,0.4,76,0,2,328,658,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:53,22.6,0,0.3,77.1,0,2,246,676,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:54,23.9,0,0.4,73.2,2.5,5,442,716,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:54,25.9,0,0.3,71.7,2.1,2,328,796,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:55,21.6,0,0.7,76,1.8,2,344,688,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:55,19.9,0,0,77.6,2.5,2,228,594,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:56,14.4,0,0.3,85.2,0,1,454,626,3,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:56,20.5,2.4,1.7,73.3,2.1,2,2802,2116,7,1,0,28.12,0,Hz,-N/A-,2.2377185
14:46:57,21.1,0,0.4,73.6,4.9,2,508,720,0,0,2,27.69,0,Hz,-N/A-,2.203500187
14:46:57,20.6,0,0,77.3,2.1,2,412,670,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:58,23.3,0,0.3,76,0.3,2,658,794,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:58,17.1,0,1.3,81.5,0,5,1804,1338,4,0,0,28.12,0,Hz,-N/A-,2.2377185
14:46:59,21.1,0,27.7,51.2,0,5,13206,6564,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:46:59,16.7,0,11.7,71.5,0,4,17918,8206,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:47:00,16.9,0,15.8,67.3,0,2,15446,7326,0,0,0,27.69,0,Hz,-N/A-,2.203500187
14:47:00,16.3,0,11,72.8,0,2,13606,6664,0,0,0,28.12,0,Hz,-N/A-,2.2377185
14:47:01,29.1,0,8.3,62.6,0,6,8600,4594,0,0,0,27.69,0,Hz,-N/A-,2.203500187
